Grid_ID,Latitude,Longitude,Elevation,Land_Use,Avg_Precipitation,Soil_Type,Drainage_Capacity,Coastal_Distance,Historical_Floods,Flood_Risk_Label
G0053,8.469749,76.105665,12,Industrial,1809.2,Loam,High,0.43,1,Moderate
G0054,8.447414,76.640826,10,Industrial,1304.44,Clay,Low,0.11,0,Moderate
G0055,8.29895,76.216038,15,Urban,1149.83,Clay,Medium,0.88,0,Low
G0056,8.460937,76.619588,7,Agriculture,1815.44,Peat,Low,7.65,2,Moderate
G0057,8.044246,76.650201,39,Forest,1228.71,Sandy,High,5.89,2,Low
G0058,8.097991,76.152025,39,Forest,1471.66,Clay,High,0.48,2,Low
G0059,8.022614,76.06135,44,Forest,1745.64,Sandy,Medium,4.93,0,Low
G0060,8.162665,76.780762,1,Forest,1547.39,Peat,Medium,7.15,0,Low
G0061,8.194339,76.4598,29,Industrial,2019.26,Loam,Medium,8.7,1,Low
G0062,8.135675,76.058164,29,Forest,1249.51,Clay,Medium,9.35,1,Low
G0063,8.414369,76.994866,11,Agriculture,1436.85,Sandy,Low,3.34,0,Low
G0064,8.178377,76.057781,9,Industrial,1460.05,Clay,Low,1.44,4,High
G0065,8.140467,76.695035,43,Forest,1686.37,Sandy,High,2.45,2,Low
G0066,8.271348,76.983679,10,Urban,1886.59,Sandy,Medium,7.78,1,Low
G0067,8.070462,76.23918,14,Wetland,1522.08,Sandy,Medium,9.72,1,Low
G0068,8.401098,76.142249,15,Wetland,1458.7,Peat,Low,4.72,1,Low
G0069,8.037275,76.121385,16,Wetland,1055.1,Loam,Medium,3.12,0,Low
G0070,8.493443,76.303275,25,Industrial,1533.71,Clay,High,4.35,0,Low
G0071,8.386122,76.101046,1,Forest,1304.91,Loam,High,3.12,0,Low
G0072,8.099358,76.692161,49,Industrial,1685.53,Sandy,Medium,2.64,1,Low
G0073,8.002761,76.062292,11,Agriculture,1377.09,Sandy,High,5.98,0,Low
G0074,8.407731,76.509422,25,Urban,1427.81,Loam,High,0.26,4,Moderate
G0075,8.353429,76.996697,22,Urban,1061.92,Loam,Low,2.67,0,Low
G0076,8.364504,76.81397,17,Wetland,956.56,Clay,High,6.65,1,Low
G0077,8.385635,76.615219,31,Wetland,2058.3,Sandy,Medium,0.42,2,Moderate
G0078,8.037022,76.306254,48,Wetland,1538.91,Loam,Medium,0.92,2,Low
G0079,8.179233,76.623896,37,Forest,1621.3,Peat,High,3.0,2,Low
G0080,8.057935,76.527041,46,Agriculture,1226.31,Sandy,Medium,8.79,1,Low
G0081,8.431552,76.426083,2,Agriculture,1762.66,Sandy,Low,7.67,4,High
G0082,8.311649,76.13071,37,Agriculture,1708.54,Clay,High,0.32,3,Moderate
G0083,8.165449,76.886604,2,Agriculture,1259.27,Peat,High,5.07,0,Low
G0084,8.031779,76.449785,29,Wetland,1182.15,Clay,High,2.82,1,Low
G0085,8.155491,76.194623,0,Urban,1280.24,Peat,Medium,6.52,1,Low
G0086,8.162592,76.367759,29,Wetland,1491.52,Clay,Medium,7.24,1,Low
G0087,8.364803,76.41413,44,Agriculture,1550.13,Peat,High,8.64,4,Low
G0088,8.318779,76.827538,31,Wetland,1511.52,Peat,Medium,4.81,0,Low
G0089,8.443606,76.733614,27,Agriculture,1889.62,Peat,Medium,9.95,4,Moderate
G0090,8.236107,76.769305,20,Industrial,1285.51,Loam,High,9.8,0,Low
G0091,8.059797,76.011031,45,Urban,1174.0,Sandy,High,8.83,2,Low
G0092,8.356622,76.416154,12,Industrial,1500.03,Peat,Medium,5.79,1,Low
G0093,8.380393,76.481344,26,Forest,992.07,Loam,High,4.04,1,Low
G0094,8.280639,76.019192,35,Wetland,1708.72,Loam,High,3.71,3,Low
G0095,8.385484,76.259813,6,Forest,1529.39,Clay,High,0.22,1,Moderate
G0096,8.246898,76.76029,21,Wetland,1398.59,Sandy,High,2.57,2,Low
G0097,8.261366,76.13711,9,Industrial,1381.93,Sandy,Medium,7.22,0,Low
G0098,8.213771,76.53531,38,Agriculture,1773.0,Clay,High,6.08,0,Low
G0099,8.01271,76.215202,14,Agriculture,1763.44,Sandy,Low,9.17,1,Low
G0100,8.053946,76.012121,14,Wetland,1426.09,Clay,High,0.6,4,Moderate
G0101,8.015715,76.241201,3,Agriculture,1677.53,Loam,Low,1.64,4,High
G0102,8.318205,76.975874,31,Industrial,1759.01,Loam,High,7.91,1,Low
G0103,8.157178,76.801537,22,Agriculture,1600.66,Peat,Low,3.65,1,Low
G0104,8.254285,76.959577,5,Industrial,1438.36,Clay,Low,1.27,1,High
G0105,8.453783,76.487854,23,Forest,1614.35,Loam,High,9.96,3,Low
G0106,8.124646,76.109736,19,Industrial,1188.27,Loam,High,7.89,0,Low
G0107,8.205191,76.547959,36,Urban,1521.33,Clay,High,4.15,0,Low
G0108,8.377776,76.454377,19,Urban,1430.06,Loam,Low,8.25,2,Low
G0109,8.114399,76.844357,11,Urban,1383.04,Sandy,Medium,6.84,3,Low
G0110,8.03849,76.098083,32,Wetland,982.04,Loam,Medium,7.92,0,Low
G0111,8.144876,76.488241,27,Wetland,1191.72,Clay,High,8.17,1,Low
G0112,8.080611,76.150049,7,Wetland,1354.23,Sandy,Medium,0.94,1,Moderate
G0113,8.464849,76.324676,0,Industrial,1768.51,Sandy,Medium,6.27,0,Low
G0114,8.40406,76.737357,36,Wetland,1585.75,Loam,High,0.17,4,Moderate
G0115,8.316702,76.476018,21,Forest,1781.9,Peat,Low,0.53,0,Moderate
G0116,8.43573,76.375888,5,Urban,1872.87,Sandy,High,9.05,0,Low
G0117,8.401836,76.394476,20,Industrial,1598.79,Clay,Medium,5.32,1,Low
G0118,8.093285,76.459447,31,Urban,1542.09,Peat,Low,7.39,0,Low
G0119,8.446279,76.785017,34,Wetland,1208.1,Peat,Medium,8.4,1,Low
G0120,8.269671,76.892085,14,Industrial,2096.0,Sandy,Low,9.5,1,Moderate
G0121,8.40372,76.955335,4,Agriculture,1074.65,Loam,Medium,8.71,1,Low
G0122,8.448046,76.786903,45,Forest,1535.62,Peat,High,4.88,1,Low
G0123,8.159002,76.315407,49,Wetland,1749.84,Loam,Medium,3.43,2,Low
G0124,8.055026,76.688135,47,Wetland,1754.02,Sandy,Medium,1.63,2,Low
G0125,8.113968,76.437603,5,Forest,1153.47,Clay,Low,4.06,0,Moderate
G0126,8.213554,76.254671,24,Forest,1374.03,Peat,Medium,3.73,0,Low
G0127,8.409007,76.840872,45,Agriculture,1260.31,Clay,High,5.64,0,Low
G0128,8.430365,76.038426,39,Wetland,905.87,Loam,High,6.69,0,Low
G0129,8.003476,76.901762,28,Wetland,1539.1,Loam,High,9.79,4,Low
G0130,8.255374,76.461477,6,Urban,1284.72,Clay,Low,7.31,1,Moderate
G0131,8.208706,76.637201,39,Industrial,1951.64,Sandy,Low,6.47,2,Moderate
G0132,8.111054,76.659354,12,Industrial,1684.55,Sandy,Medium,3.42,1,Low
G0133,8.059933,76.895118,37,Urban,1512.42,Peat,Medium,0.44,0,Low
G0134,8.168808,76.63667,17,Industrial,1358.19,Peat,Medium,2.95,2,Low
G0135,8.471455,76.613934,1,Forest,1534.53,Sandy,Low,7.71,1,Moderate
G0136,8.161601,76.066652,7,Industrial,1423.24,Sandy,Low,2.13,0,Moderate
G0137,8.259395,76.518408,10,Industrial,1520.86,Clay,Medium,7.15,2,Low
G0138,8.351509,76.150169,32,Urban,2070.49,Loam,Low,5.84,2,Moderate
G0139,8.181815,76.737434,37,Agriculture,1180.57,Loam,Low,1.8,0,Moderate
G0140,8.485891,76.512222,47,Industrial,1449.41,Peat,High,2.69,1,Low
G0141,8.481224,76.680228,26,Industrial,1711.92,Sandy,High,5.01,2,Low
G0142,8.125891,76.041673,19,Agriculture,1379.96,Clay,Medium,4.24,0,Low
G0143,8.248624,76.084792,11,Urban,1974.16,Peat,Medium,7.81,1,Low
G0144,8.150439,76.716323,42,Agriculture,1703.54,Clay,High,7.37,3,Low
G0145,8.14242,76.072084,30,Urban,1284.33,Sandy,Low,5.79,5,Moderate
G0146,8.018443,76.071257,26,Forest,1561.22,Sandy,Medium,8.24,2,Low
G0147,8.304782,76.012108,31,Urban,1288.62,Sandy,Medium,5.67,0,Low
G0148,8.25134,76.956501,9,Forest,1261.0,Loam,Medium,9.65,1,Low
G0149,8.025739,76.737508,2,Forest,1457.94,Sandy,Low,2.25,2,Moderate
G0150,8.139323,76.353251,44,Urban,1879.13,Peat,High,7.17,2,Low
G0151,8.454133,76.296536,26,Wetland,1723.63,Loam,Medium,3.76,3,Low
G0152,8.119781,76.349703,34,Urban,1493.23,Clay,High,2.86,2,Low
G0153,8.072447,76.774654,30,Industrial,1734.36,Peat,High,1.89,3,Moderate
G0154,8.244726,76.661371,14,Industrial,1580.59,Peat,Low,5.57,4,Moderate
G0155,8.492825,76.185196,15,Wetland,1149.03,Clay,Low,2.23,2,Low
G0156,8.121028,76.174109,12,Forest,1456.46,Loam,Low,2.08,0,Low
G0157,8.336068,76.098396,48,Wetland,1478.05,Peat,Low,9.91,1,Low
G0158,8.38081,76.660303,34,Industrial,1728.51,Peat,Low,8.04,0,Low
G0159,8.118819,76.764373,10,Wetland,1330.06,Peat,Low,7.51,0,Low
G0160,8.364108,76.265046,20,Urban,1226.2,Loam,Medium,7.96,1,Low
G0161,8.183892,76.020945,10,Wetland,1486.34,Loam,High,9.69,2,Low
G0162,8.316153,76.082172,29,Forest,1306.37,Loam,Low,5.78,1,Low
G0163,8.316765,76.96786,47,Urban,1402.95,Peat,Medium,2.28,3,Low
G0164,8.267887,76.295445,34,Agriculture,1475.74,Sandy,High,8.64,3,Low
G0165,8.045145,76.769223,21,Industrial,1385.09,Clay,Low,7.45,2,Low
G0166,8.417651,76.624664,37,Industrial,1788.95,Sandy,Low,4.2,0,Low
G0167,8.16039,76.38194,30,Wetland,1924.29,Loam,Medium,4.79,3,Moderate
G0168,8.093259,76.205687,13,Urban,1758.87,Peat,High,4.17,1,Low
G0169,8.020388,76.121386,23,Agriculture,968.64,Peat,Low,9.31,3,Moderate
G0170,8.295446,76.615013,49,Urban,1307.41,Sandy,High,3.5,3,Low
G0171,8.338782,76.774634,48,Industrial,1446.4,Sandy,Medium,9.64,2,Low
G0172,8.008294,76.643904,31,Urban,946.12,Clay,Low,9.11,1,Low
G0173,8.256047,76.530302,35,Agriculture,1237.23,Peat,High,6.34,2,Low
G0174,8.113248,76.041951,31,Wetland,1442.57,Sandy,Medium,5.84,0,Low
G0175,8.322586,76.968489,14,Forest,1365.31,Clay,Medium,3.76,3,Low
G0176,8.087183,76.798714,42,Urban,1502.6,Loam,Low,0.28,1,Moderate
G0177,8.345469,76.292822,34,Forest,1085.75,Sandy,High,1.36,1,Low
G0178,8.193368,76.97997,2,Industrial,1361.92,Loam,Low,7.57,1,Moderate
G0179,8.468365,76.601882,15,Wetland,1545.57,Clay,Low,4.77,5,Moderate
G0180,8.06876,76.582423,4,Wetland,1503.06,Loam,High,1.58,2,Moderate
G0181,8.170533,76.748073,20,Urban,1634.07,Peat,High,2.71,0,Low
G0182,8.056737,76.81177,9,Wetland,1616.57,Peat,High,9.48,2,Low
G0183,8.462347,76.656479,18,Urban,1377.87,Loam,Medium,3.73,1,Low
G0184,8.43867,76.128096,24,Urban,1536.04,Peat,Medium,9.09,1,Low
G0185,8.128971,76.338268,3,Forest,1260.0,Clay,High,3.12,4,Moderate
G0186,8.329992,76.928084,28,Wetland,1418.93,Peat,Medium,5.48,4,Low
G0187,8.408611,76.224616,18,Urban,1183.31,Loam,Low,0.3,1,Moderate
G0188,8.2776,76.372167,42,Forest,1819.63,Loam,High,5.27,3,Moderate
G0189,8.264825,76.432077,1,Agriculture,1417.95,Loam,Low,6.41,4,High
G0190,8.120926,76.439405,9,Forest,1819.18,Sandy,High,2.42,3,Moderate
G0191,8.046551,76.61294,42,Forest,1593.45,Loam,Low,5.83,1,Low
G0192,8.448608,76.943076,24,Urban,1234.3,Clay,High,6.51,1,Low
G0193,8.450209,76.240693,19,Industrial,1575.33,Peat,Low,6.9,2,Low
G0194,8.316551,76.121501,47,Industrial,1742.92,Peat,High,7.79,0,Low
G0195,8.169515,76.19747,18,Industrial,1476.73,Sandy,High,3.18,1,Low
G0196,8.174605,76.886925,22,Forest,1522.21,Sandy,Medium,5.72,1,Low
G0197,8.362978,76.645811,23,Urban,1334.56,Clay,Low,9.82,4,Moderate
G0198,8.448555,76.285907,10,Wetland,1507.23,Loam,Medium,8.99,1,Low
G0199,8.443543,76.815947,45,Forest,1571.37,Sandy,Low,9.53,1,Low
G0200,8.389938,76.86137,33,Forest,1326.36,Peat,Medium,3.92,1,Low
G0201,8.321016,76.846514,27,Urban,1176.21,Sandy,High,7.89,1,Low
G0202,8.04207,76.918927,4,Agriculture,1886.39,Sandy,Medium,6.24,3,Moderate
G0203,8.080814,76.252241,4,Forest,1681.24,Loam,Medium,0.92,1,Moderate
G0204,8.449277,76.755042,20,Agriculture,1335.7,Sandy,High,8.26,4,Low
G0205,8.303215,76.460539,11,Agriculture,1565.9,Clay,Medium,6.8,0,Low
G0206,8.004599,76.841999,49,Industrial,1056.43,Peat,High,2.07,4,Low
G0207,8.050736,76.728491,3,Urban,906.88,Loam,Low,0.89,0,High
G0208,8.331751,76.776447,48,Agriculture,1825.24,Peat,Medium,8.39,0,Low
G0209,8.002531,76.656162,41,Urban,1568.87,Clay,High,0.88,0,Low
G0210,8.080404,76.177429,19,Industrial,1485.69,Clay,High,1.0,1,Low
G0211,8.274367,76.545027,37,Urban,1569.8,Sandy,Medium,4.33,2,Low
G0212,8.345948,76.98467,24,Forest,2467.84,Sandy,Low,1.43,0,High
G0213,8.325981,76.937388,13,Agriculture,1760.73,Sandy,Medium,9.15,0,Low
G0214,8.112135,76.043174,10,Urban,1186.37,Peat,High,4.76,2,Low
G0215,8.35609,76.164815,31,Wetland,995.89,Clay,Low,5.73,3,Moderate
G0216,8.118625,76.131729,10,Urban,1816.36,Loam,Medium,9.29,3,Moderate
G0217,8.1627,76.72598,17,Agriculture,1756.83,Sandy,High,5.35,5,Low
G0218,8.373246,76.817785,26,Industrial,1672.52,Peat,Medium,3.6,0,Low
G0219,8.324816,76.213511,17,Industrial,1256.14,Sandy,Low,7.99,1,Low
G0220,8.424612,76.505853,22,Agriculture,1608.99,Clay,Low,4.48,1,Low
G0221,8.328806,76.840703,10,Forest,1283.0,Loam,Low,3.25,0,Low
G0222,8.284154,76.732802,20,Forest,1698.83,Clay,Low,7.26,1,Low
G0223,8.046837,76.542237,43,Industrial,1794.8,Peat,Low,8.04,0,Low
G0224,8.183858,76.590348,4,Industrial,1336.96,Sandy,Medium,7.94,1,Low
G0225,8.132601,76.508361,22,Agriculture,1839.54,Clay,Low,9.78,0,Moderate
G0226,8.121995,76.297548,40,Forest,1534.46,Peat,Low,7.89,3,Moderate
G0227,8.486505,76.565022,24,Industrial,1647.56,Sandy,High,7.72,2,Low
G0228,8.196549,76.688885,40,Forest,1107.11,Loam,Low,8.59,0,Low
G0229,8.446023,76.873323,9,Industrial,1569.66,Clay,High,0.1,0,Moderate
G0230,8.315569,76.636291,21,Urban,1297.32,Sandy,High,3.69,4,Low
G0231,8.397406,76.761122,18,Wetland,1642.39,Sandy,High,7.4,2,Low
G0232,8.251319,76.160072,0,Urban,1940.15,Sandy,Medium,6.04,2,Low
G0233,8.288452,76.461557,6,Industrial,1586.86,Sandy,Medium,1.86,2,Moderate
G0234,8.246259,76.009332,3,Wetland,1229.74,Clay,High,3.11,0,Low
G0235,8.097621,76.246679,0,Wetland,1687.94,Sandy,Medium,3.43,3,Moderate
G0236,8.361226,76.726462,14,Industrial,1620.54,Peat,Low,5.72,0,Low
G0237,8.140386,76.99181,39,Industrial,2117.58,Clay,Medium,8.33,2,Low
G0238,8.012158,76.099178,11,Forest,1576.19,Sandy,Low,9.33,3,Moderate
G0239,8.322736,76.401494,21,Industrial,1324.36,Clay,Low,7.53,0,Low
G0240,8.088555,76.800071,21,Agriculture,1731.19,Peat,Medium,8.45,3,Low
G0241,8.470229,76.204036,49,Industrial,1461.7,Peat,Medium,4.75,0,Low
G0242,8.476964,76.555085,46,Agriculture,1524.08,Clay,High,3.96,3,Low
G0243,8.457432,76.733071,16,Industrial,1221.46,Sandy,Medium,3.99,4,Low
G0244,8.185079,76.615985,28,Forest,1463.27,Sandy,Medium,6.2,0,Low
G0245,8.007728,76.188025,45,Agriculture,1509.24,Peat,Medium,1.33,0,Low
G0246,8.464159,76.355385,13,Urban,1461.5,Sandy,Low,5.84,3,Moderate
G0247,8.214092,76.783792,49,Agriculture,1322.73,Peat,Low,6.68,2,Low
G0248,8.483327,76.554227,19,Forest,1586.47,Sandy,Low,4.45,2,Low
G0249,8.48181,76.00523,49,Agriculture,1222.96,Peat,High,9.54,2,Low
G0250,8.426505,76.760991,47,Industrial,1152.3,Loam,High,6.12,2,Low
G0251,8.147224,76.035311,32,Industrial,1712.86,Sandy,High,2.28,2,Low
G0252,8.192549,76.745734,42,Forest,1685.33,Sandy,Low,4.84,1,Low
G0253,8.425568,76.202481,14,Wetland,1107.72,Sandy,Medium,6.79,2,Low
G0254,8.158461,76.958073,11,Industrial,951.13,Clay,High,3.3,1,Low
G0255,8.084746,76.367941,39,Urban,1197.38,Sandy,High,0.89,1,Low
G0256,8.278401,76.326932,19,Forest,1461.51,Clay,Low,5.88,0,Low
G0257,8.468077,76.148888,29,Agriculture,1846.3,Clay,High,9.48,2,Low
G0258,8.348015,76.305604,37,Agriculture,1454.18,Peat,Medium,4.9,0,Low
G0259,8.285031,76.876651,2,Urban,1269.19,Clay,Low,9.07,0,Moderate
G0260,8.048588,76.996334,27,Industrial,1544.58,Clay,Low,8.37,3,Moderate
G0261,8.307504,76.36831,25,Forest,1465.8,Loam,Medium,1.56,4,Moderate
G0262,8.495027,76.448611,29,Urban,1085.7,Sandy,Medium,7.11,0,Low
G0263,8.070042,76.722071,12,Industrial,1087.48,Clay,Medium,4.41,3,Low
G0264,8.259165,76.886196,12,Forest,1095.54,Sandy,High,2.58,1,Low
G0265,8.438687,76.593044,1,Agriculture,2243.96,Clay,Medium,6.9,1,Low
G0266,8.370384,76.391526,36,Forest,1757.99,Peat,Low,7.45,0,Low
G0267,8.348508,76.412622,48,Wetland,1321.89,Loam,Medium,1.88,1,Low
G0268,8.351242,76.695618,37,Forest,1832.48,Clay,Low,9.15,0,Moderate
G0269,8.179746,76.003218,1,Wetland,1329.58,Sandy,Low,7.54,0,Moderate
G0270,8.146796,76.619589,35,Forest,1822.55,Peat,High,9.34,0,Low
G0271,8.404681,76.355493,25,Wetland,1524.09,Sandy,Medium,3.24,0,Low
G0272,8.405057,76.794197,10,Agriculture,1302.34,Peat,High,9.4,2,Low
G0273,8.433536,76.092991,7,Industrial,1703.95,Loam,Medium,3.75,2,Low
G0274,8.45662,76.588202,43,Wetland,1541.26,Peat,Medium,0.63,1,Low
G0275,8.255671,76.480973,39,Wetland,1619.48,Sandy,Medium,7.65,3,Low
G0276,8.250758,76.642326,42,Agriculture,1564.65,Sandy,Medium,7.06,2,Low
G0277,8.399148,76.064854,21,Wetland,1561.5,Clay,Medium,6.02,2,Low
G0278,8.324982,76.579984,19,Urban,1740.17,Peat,Low,4.95,0,Low
G0279,8.350983,76.561485,7,Agriculture,2275.14,Sandy,Low,0.42,1,High
G0280,8.397896,76.56066,28,Urban,1874.64,Clay,Medium,6.28,0,Low
G0281,8.445003,76.603488,39,Agriculture,1565.89,Loam,Low,4.23,1,Low
G0282,8.168998,76.676468,25,Wetland,1406.82,Sandy,High,5.65,3,Low
G0283,8.187791,76.804989,29,Urban,1439.78,Clay,High,4.35,2,Low
G0284,8.046991,76.269821,16,Wetland,1123.16,Sandy,High,9.66,2,Low
G0285,8.28914,76.825049,19,Agriculture,1699.36,Peat,Medium,6.08,1,Low
G0286,8.017971,76.498256,15,Wetland,1195.52,Clay,Medium,7.52,0,Low
G0287,8.232799,76.077058,45,Urban,1388.26,Peat,Low,9.37,0,Low
G0288,8.271322,76.058551,42,Urban,1701.1,Loam,Low,5.96,2,Low
G0289,8.143271,76.334238,6,Wetland,1428.8,Peat,Low,0.22,6,High
G0290,8.295417,76.784897,15,Forest,1352.31,Clay,High,0.44,1,Low
G0291,8.01525,76.707681,44,Agriculture,1140.76,Sandy,High,7.05,2,Low
G0292,8.018674,76.788615,46,Agriculture,1861.6,Clay,High,2.86,2,Low
G0293,8.4113,76.517269,47,Wetland,1250.03,Peat,High,5.84,1,Low
G0294,8.180095,76.440199,26,Forest,1324.24,Peat,Low,2.1,1,Low
G0295,8.06353,76.147453,22,Urban,962.48,Sandy,Medium,2.78,1,Low
G0296,8.261122,76.328193,23,Industrial,1494.04,Loam,Medium,5.1,1,Low
G0297,8.384997,76.434019,8,Industrial,1400.01,Clay,High,9.76,2,Low
G0298,8.107911,76.0886,34,Wetland,1554.56,Sandy,Medium,6.2,1,Low
G0299,8.311445,76.220612,19,Forest,1147.61,Sandy,Medium,9.37,1,Low
G0300,8.042674,76.598225,36,Forest,1720.25,Sandy,Medium,9.6,0,Low
G0301,8.025841,76.735663,41,Agriculture,948.24,Clay,High,2.16,2,Low
G0302,8.265677,76.998348,16,Urban,1472.35,Clay,Low,3.18,2,Low
G0303,8.270318,76.933113,46,Forest,1534.65,Clay,Low,7.72,0,Low
G0304,8.318715,76.642565,30,Industrial,1517.33,Loam,Medium,8.68,1,Low
G0305,8.363046,76.421248,7,Urban,1547.33,Sandy,Low,5.24,4,High
G0306,8.487926,76.636177,14,Urban,1736.6,Peat,Low,9.93,1,Low
G0307,8.25815,76.785652,30,Wetland,1897.41,Peat,High,0.21,1,Moderate
G0308,8.161478,76.118336,29,Forest,1453.32,Sandy,High,3.07,1,Low
G0309,8.397593,76.409905,45,Wetland,1209.65,Peat,Medium,6.27,3,Low
G0310,8.135416,76.839802,19,Forest,1668.22,Loam,Medium,4.75,2,Low
G0311,8.219486,76.383833,38,Agriculture,1415.93,Loam,Medium,1.25,2,Low
G0312,8.039228,76.571872,11,Wetland,1879.39,Clay,High,3.74,1,Low
G0313,8.012675,76.587769,48,Wetland,1319.41,Clay,Low,0.35,0,Moderate
G0314,8.481324,76.184476,16,Industrial,1242.6,Clay,High,6.46,0,Low
G0315,8.41799,76.362235,41,Wetland,1543.14,Clay,High,8.94,1,Low
G0316,8.347987,76.334511,29,Forest,977.87,Clay,Low,8.86,1,Low
G0317,8.204476,76.026197,28,Industrial,1359.77,Peat,Low,7.03,1,Low
G0318,8.086647,76.024192,18,Wetland,1401.05,Peat,Medium,4.71,3,Low
G0319,8.078219,76.831697,45,Wetland,1566.14,Clay,Low,5.17,2,Low
G0320,8.125121,76.273071,10,Agriculture,1201.12,Loam,Low,1.46,4,High
G0321,8.274613,76.518079,33,Wetland,1236.15,Peat,Low,3.48,1,Low
G0322,8.357298,76.298726,49,Urban,1847.07,Loam,Low,1.96,1,High
G0323,8.330099,76.940679,6,Industrial,1495.96,Loam,Medium,8.23,7,Moderate
G0324,8.139967,76.259297,43,Urban,1759.39,Sandy,Medium,9.16,0,Low
G0325,8.477433,76.429657,33,Industrial,1337.46,Sandy,Low,5.42,8,Moderate
G0326,8.368948,76.87273,19,Agriculture,1483.66,Clay,Low,7.3,3,Moderate
